reviewer,time,context,ranking,Chi nhánh,Sentiment
Nam Đặng,7 tháng trước,"Đang xem phim Lật Mặt 7 mà phim mất hình ảnh ,đứng hình 2 lần ,đây là lần đầu tiên thấy CGV làm việc thiếu chuyên nghiệp như vậy",1,CGV Hùng Vương Plaza,0
Bảo Nghi,một năm trước,"Con trần thị lệ , số đt 076 7248369 , lừa đảo ăn quỵt, ăn chặn tiền lương của nhân viên. Con trần thị lệ có sở thích ăn cắp vặt.",1,CGV CT,0
Dung Nguyễn Thị Thùy,4 tháng trước,Bạn nhân viên nam đứng ở quầy khoảng 1h30 trưa ngày CN (14/7) thái độ rất tệ làm ảnh hưởng sự hào hứng khi đi xem phim của khách,1,CGV Vincom Center Landmark,0
Hiếu Phạm Hoàng,5 tháng trước,"Đặt combo bắp nc bị nhân viên tự thêm 1 cơm cháy, complain thì được trả lại 20k, ko biết giá của bị come cháy đó bao nhiêu luôn.",1,CGV Pearl Plaza,0
Bảo Nghi,một năm trước,"Con trần thị lệ , số đt 076 7248369 , lừa đảo ăn quỵt, ăn chặn tiền lương của nhân viên. Con trần thị lệ có sở thích ăn cắp vặt.",1,CGV Hoàng Văn Thụ,0
Sean Hwang,3 năm trước,"Tôi không cảm thấy thoải mái khi ngồi trong rạp vì ghế ngồi là ghế bị nhiễm bẩn...Đặc biệt, ghế của cặp đôi khiến lưng tôi đau rất nhiều khi ngồi lâu.",1,CGV Pearl Plaza,0
vũ nguyễn,4 năm trước,nhân viên thu ngân cố gắng bán combo và tự động đưa ra quyết định của riêng mình bằng cách thêm vào 2 miếng chip. Giá từ 79k đến 235k.,1,CGV Vincom Thủ Đức,0
Trung Võ,4 năm trước,"Nhân viên soát vé thì không có, không biết rạp nào để vô, la lên có ai soát vé không thì không thấy ai ra giúp đỡ. Ngày 5 tháng 7 2020",1,CGV Vivo City,0
Que Lam H ANGOC,10 tháng trước,"Các nhân viên cố gắng ép bạn mua những thứ bạn không yêu cầu.

Tôi xin 1 ly nước nhỏ và 1 bắp rang nhỏ, họ bắt tôi lấy ly đặc biệt của họ, tôi …",1,CGV Hoàng Văn Thụ,0
TAI NGUYEN,8 tháng trước,"Nhận định cá nhân của mình thì thái độ nhân viên không thân thiện, hỗ trợ hời hợt mà chủ yếu ép khách mua bắp nước. Rạp khá vắng vào ngày thường",1,CGV Pandora City,0
QuocSon DL,một năm trước,"Không nên đến nơi này nha các bạn:
1/Xe các bạn sẽ bị hô biến và bảo vệ k chịu trách nhiệm cho mất mác đó (đã có mấy vụ phốt, lên mạng là thấy) …",1,CGV Pearl Plaza,0
Minh Nguyễn,một năm trước,"Đứng đợi từ 7h20 để mua vé nhưng do trục trặc bên kĩ thuật phải đứng đợi đến 7h50, cái kết không mua được vé lúc 7h30 mà còn không có lời xin lỗi",1,CGV Celadon,0
Duyên Nguyễn Thị Vân,một năm trước,"Dịch vụ tệ . Phim lúc 10:10 PM thì rửa máy làm popcorn rồi . Nhân viên nữ làm việc cá nhân. Chất lượng rạp khá tệ , cân nhắc kĩ nha các cậu 🥹🥹🥹 …",1,CGV CT,0
Thích Bình Luận,3 tháng trước,rạp quá cũ ghế thì kêu tiếng cót két tưởng dưới quê kh á má :) khuyên mng kh nên đi nha rạp nhỏ !!! kh có làm mới cọng với âm thanh rạp nhỏ xíu à,1,CGV Cresent Mall,0
함승환,8 năm trước,bad service. dang su dung cgv app. o trong app la co phu de tieng han. nhung toi sgv la ko co phu de tieng han. quan ly noi gi ko ton trong nguoi.,1,CGV Liberty Citypoint,0
Hải Cường,10 tháng trước,Thái độ của nhân viên bán vé rất tệ . Đứng bán vé và giải đáp thắc mắc cho khách nhưng khoanh tay và thái độ . In hoá đơn sai làm trễ giờ xem phim,1,CGV Lý Chính Thắng,0
jim Man,2 năm trước,Nhân viên và người quản lý dường như vô hồn và tỏ thái độ. Không có nhân viên tại trạm kiểm soát. Bạn không cảm thấy được chào đón ở đây chút nào.,1,CGV Sư Vạn Hạnh,0
Bi day ne,6 tháng trước,Ghế đôi như cc . Không khác gì ghế thường . Ko có tấm che 2 bên ko tạo đc sự riêng tư khi ngồi . Rạp siêu nhỏ . Ai muốn coi phim nên né ghế này ra,1,CGV Pandora City,0
Đàn Nhi Khúc,11 tháng trước,"Gọi nước đợi coi fim 2 tiếng cũng không thấy nước đâu
Ra nói thì nhân viên mới check lại xem và thấy nhân viên k có trách nhiệm với công việc j hết.",1,CGV Pearl Plaza,0
Dao Tuan Vu Tour guide,4 năm trước,"Cho thuê sân làm sự kiện..
Chúng tôi đi giờ thấp điểm buổi trưa lúc 13h thứ 3 ngày 3. mà không có 1 chổ ngồi chờ phải đứng đợi suốt gần cả tiếng.. …",1,CGV Sư Vạn Hạnh,0
Vinh Tran Tuan,7 năm trước,Chỉ là tôi không thích Google theo dõi tôi qua bản đồ. Một loại vi phạm quyền riêng tư. Hoàn toàn không tin tưởng bất kỳ dịch vụ *miễn phí* nào nữa.,1,CGV Hoàng Văn Thụ,0
Võ Ngọc Bảo Trân,một năm trước,"Thái độ nhân viên bán vé xem phim khinh khách hàng , bỏ tiền mua vé mà nhận lại thái độ nhân viên rất kì mặc dù rạp có 4 vé satra cgv củ chi tân quy",1,CGV Satra Củ Chi,0
Nguyễn Trần Thanh Trúc,6 tháng trước,"Nhân viên thái độ không tốt với khách hàng(nói chuyện, thái độ và hành động không tốt), không nghe rõ ý kiến khánh hàng, bấm lộn combo cho khách hàng.",1,CGV Celadon,0
minh ngoc,5 năm trước,"Phục vụ lơ là , không vui vẻ , chuẩn bị đồ chấm không có nước tương, chỉ có bình không, quán trang trí đẹp, đồ ăn không ngon, món nào cũng lạc,",1,CGV Liberty Citypoint,0
Oscar L.,3 năm trước,"Kinh khủng, rạp chiếu phim đắt nhất Sài Gòn nhưng tệ hơn là 20 phút quảng cáo! Ghế cũng không thoải mái. Tốt hơn nên bám vào thiên hà.",1,CGV Vincom Center Landmark,0
Trân Giả,8 tháng trước,"22.3 mình có mua vé trực tiếp ở quầy, áp dụng  vé u22 và có sài thẻ thành viên, nhưng tận 120k, chưa bao gồm VAT. 120k là vé của thành viên ạ??",1,CGV Giga Mall Thủ Đức,0
n n,5 năm trước,Hệ thống thanh toán trang web luôn không hoạt động. Không hiểu sao tất cả các trang web của Việt đều thích điều này mà không bao giờ sửa được.,1,CGV Vincom Đồng Khởi,0
Kyoken Mike,3 năm trước,"Phục vụ coi thường khách hàng. Suất chiếu Gái Già Lắm Chiêu V. RẠP 2, suất 13h ngày 9/3/2021. Đề nghị BQL rạp xem lại thái độ nhân viên.",1,CGV Saigonres Nguyễn Xí,0
Quốc Đạt Trương,một năm trước,"Cái bắp phô mai mình ăn nghe mùi lợ lợ như có bột ngọt, vị đăng đắng có xin đổi mà nhân viên không chịu. Nói chung mọi thứ ổn trừ bắp ra",1,CGV Vincom Thủ Đức,0
Danh Nguyen Cong,9 tháng trước,"Vào phòng chiếu nghe âm thanh là muốn đi về liền, quá tệ, phòng chiếu cũ, ghế ngồi khá kì so với các rạp cgv khác, ko thay mới và update",1,CGV Cresent Mall,0
Đạt Nguyễn,3 tuần trước,"09.11.2024- Thần Dược, hàng E5-E6.
Mọi thứ đều rất ổn.
Ngoài lề gửi các tình yêu đi xem phim: Mình đi coi suất khuya đến rạng sáng. Gặp …",1,CGV Lý Chính Thắng,0
Hưng Khuê Trần,5 năm trước,Cgv thì ko có gì phải bàn rồi. Cho 1 sao vì đem phim có chứa đường lưỡi bò về chiếu. Nên mua vé suất sau 10h và thanh toán online cho rẻ.,1,CGV Celadon,0
nhung nguyen,3 tháng trước,"Trải nghiệm tệ, đã là ghế khuất màn hình mà vẫn để là vé vip để khách đặt rồi cái kết vô ngồi khuất luôn cả cái đầu của khách ,  cửa số 8",1,CGV Celadon,0
Tuan Tran,2 tháng trước,"Ms đi coi transformer one xong, mấy ly nc có con mô hình ở trên nhân viên bảo free xong tính tiền 150k vô ? Bảo s tính lại tiền cứ sai sai",1,CGV Pearl Plaza,0
Lý Trúc,một năm trước,"Nhân viên không tận tâm, không hỗ trợ thông tin về giá bắp nước cũng như combo cho khách hàng, không xuất bill sau khi oder cho khách hàng.",1,CGV Vincom Gò vấp,0
Aven Cast,một năm trước,Ban quản lý rạp chiếu phim nên xem xét xem xét Rạp chiếu phim số 6 và số 4. Màn hình siêu bẩn (khu vực trên cùng) và nhìn chung có mùi hôi.,1,CGV Lý Chính Thắng,0
11-11A8-Võ Huỳnh Phương Lan,một năm trước,"Ghế ngồi rất hôi, nghe mùi ẩm mốc, khó chịu! Trên ghế còn vươn vãi đồ ăn thừa khách trước, có tóc và rất nhiều rác nhỏ trên ghế… ko hài lòng",1,CGV Vincom Gò vấp,0
Tấn Tài Võ,4 năm trước,"Rạp mới, đẹp, sạch. Có điều giữ xe quá mắc, tận 10k/xe máy, đã thế không free thời gian giữ xe nữa chứ. Sẽ ko chọn đi lần 2 ở chi nhánh này!",1,CGV Lý Chính Thắng,0
Quỳnh Nga Lê,một năm trước,"Cả hệ thống CGV cứ suất chiếu khuya là tắt máy lạnh, rất nóng và khó chịu, liên hệ nhân viên không có bạn nào trực quầy để hỗ trợ khách hàng",1,CGV Thảo Điền,0
Ha Je Sun,3 năm trước,"Mình coi suất chiếu 9.45pm thì rạp chiếu nhầm phim, không những vậy lại không mở máy điều hoà nên bên trong không khí khó chịu và lại có mùi",1,CGV Vincom Thủ Đức,0
Cuongpm,5 năm trước,"Nhân viên lừa đảo chặc chém, tui sẽ đánh giá toàn bộ hệ thống 1 sao.
Môm giảm 50% moi đến coi kẻ huy diệt
.ma ko ngờ bị  nv chặt chém lừa đảo",1,CGV Vivo City,0
Ben Tran,7 tháng trước,"Mình kêu 1 bắp 1 nước, nhân viên tự động thanh toán gói Premium 1 bắp 1 nước 1 kitkat trong khi có combo bắp nước. Chèo kéo sale vừa vừa thôi",1,CGV AEON Bình Tân,0
Rinkari,một năm trước,"Chưa bao giờ mình thấy thất vọng như thế này về CGV.
Mình đi CGV như mọi khi, tin tưởng vì dịch vụ tốt nhưng gặp đúng nhân viên hách dịch 🫶. …",1,CGV Vincom Thủ Đức,0
Roni Hutton,4 năm trước,"Bạn nhân viên bấm máy ca 16g ngày 6/11/2020 có vẻ hơi thái độ, hình như là nhân viên mới vì thấy bạn quản lí kế bên nhắc nhở",1,CGV Pandora City,0
Na Nguyễn,6 tháng trước,"Rạp ok, riêng chị bán vé vote 1*. Mình đi mua vé mà chỉ cứ nhăn nhăn y như ko muốn bán, mình có thắc mắc một số thứ hỏi thì chỉ như ko muốn trả lời. Mình đi lúc 19h30 27/05/2024.",1,CGV Vincom Thủ Đức,0
Truong Nhat,một năm trước,"Vào xem phim thì ko cho vô , đòi xem căn cước các thứ rồi kêu hoàn tiền thì ko chịu , 1 lúc sau gần hết phim quản lý mới cho vào , 800 trăm mấy mà tưởng rẻ à , xem lại nhân viên!!",1,CGV Vincom Gò vấp,0
Tam Nguyen,7 tháng trước,Yêu cầu rạp cần nhắc nhở khách hàng kỹ hơn về nội quy trước khi xem phim. Hay tốt nhất là nên có nv trong rạp để kiểm soát và lưu ý và nhắc nhở những khách hàng k theo nội quy khi xem phim. Tránh làm ảnh hưởng ng khác. …,1,CGV Celadon,0
Trâm Nguyễn Phúc Huyền,một tháng trước,"Nhân viên up sale vô tội vạ làm trễ 15’ xem phim của khách hàng.
Tôi đi 4 người mua 4 vé +2 bắp + 2 nước.Thế nhưng nhân viên lại yêu cầu bên tôi chọn ly, tự tiện chuyển chúng tôi qua combo mắc hơn với mong muốn bán ly. …",1,CGV Pearl Plaza,0
Tuan Anh,2 năm trước,"Vừa xem Avatar 4DX 3D, hiệu ứng ghế di chuyển rất chán hầu như không có. Hơi nước phun vào mặt có mùi khó chịu (mùi nuớc cũ), kính thì bị trầy xước khá nhiều. Cần cải thiện thêm về hiệu ứng 4DX, khá thất vọng về CGV VIVO.",1,CGV Vivo City,0
Nhan Vu,3 tháng trước,"Trải nghiệm tệ! Mình xem suất 9:20, 9:18 vào rạp thì phim chiếu cả khúc (lúc này cứ ngỡ đang quảng cáo, đến đoạn lâu mới xoay qua hỏi bạn kế bảo đã chiếu nãy giờ), lúc hết phim thì lại không bật đèn cho khách ra khỏi rạp.",1,CGV Hoàng Văn Thụ,0
Dung Nguyen,2 tháng trước,"Rạp quá tệ. Coi phim đêm ngày 22/9, đang ngồi chờ ở sảnh rạp chuẩn bị vào suất thì các phòng chiếu bị cúp điện, khách nháo nhào trở ra sảnh phải mất 1 lúc mới ổn định lại thì các phòng chiếu đó phim lại chiếu lại từ đầu. …",1,CGV Cresent Mall,0
Bá Nhân Võ,2 năm trước,Đã xép đàu hàng rồi đã kiễm tra vé rồi lại kêu ngta xép hàng lại yêu cầu quản ly kiểm tra và trấn chỉnh lại các nhân viên kiểm tra vé của khách hàng. Khi nói tới lại liết khách hàng + vào và hết phim vẫn không mỡ đèn để ra,1,CGV Satra Củ Chi,0
Bin,2 năm trước,Nghe nói Imax là có phát kính để xem mà nhỉ. Mà màn hình IMAX to mà mấy bố lại để ghế nó sát thế cho ng xem nó lòi con mắt à ;)). Xong còn phải đọc sub lòi trĩ nữa. Đứa nào làm cái phòng chiếu ngu thế kbiet. Phí tiền thực sự,1,CGV Vivo City,0
Dat Nguyen,6 tháng trước,"Đi xem phim doraemon để lấy ấn phẩm 2 ngày 18 và 19 . Mà mới 18 đã báo hết ấn phẩm mặc dù nhìn trên quầy còn rất nhiều , rất nhiều ng cũng bị tình trạng y chang . Thôi chiêu trò kéo khách vầy né luôn từ đây cạch mặt luôn cgv",1,CGV Vincom Gò vấp,0
Kai Trần,8 tháng trước,"Dịch vụ quá tệ , đặt phần combo 2 nước lớn 1 bắp  trên ứng dụng để giá 113k . Mà ra tới rạp bán giá 173k , hỏi thì nói nước riêng lẻ mắc hơn combo
39k ly x 2 là 78k , bắp 95 đổi vị , vậy cho hỏi như vậy là rẻ dữ chưa , lúc …",1,CGV AEON Bình Tân,0
Phuong L.,5 năm trước,Tôi muốn Choco nhưng lại có Brown. Lãng phí 199k đồng! Đôi khi tôi thậm chí còn không hiểu được người ta nói gì và tôi nghĩ họ chỉ đoán được những gì tôi nói mà thôi. Chắc chắn không phải là một nơi tốt cho người nước ngoài.,1,CGV Vincom Center Landmark,0
Nguyễn Quỳnh Linh Đan,5 tháng trước,"Nhân viên thì cọc cằn, thái độ khinh thường, không biết là có được xem là khách hàng hay. Cần trừ lương nhân viên làm xuất chiếu phim 12:20 phim “Gia Tài Của Ngoại”  Không bao giờ quay lại chỗ này nữa. THẬT SỰ KHÔNG ĐÁNG TIỀN",1,CGV Sư Vạn Hạnh,0
Hiền,9 tháng trước,Nhân viên ở cơ sở này không tư vấn đúng . Ngày sinh nhật bán vé k giảm mà nói bắp vẫn k giảm. Mà khi mua vé xong mình qua mua nước thì bên bán nước  nói có. Năm trước đi tháng sinh nhật thì được giảm vé giờ nói lý do các kiểu,1,CGV Pandora City,0
Nic Vu,2 năm trước,"Bây giờ L81 ko còn cho gửi xe tối nữa. Phải gửi các tòa bên cạnh.
Mà nếu đi coi buổi tối tầm 7-8h, thì đến khi về lấy xe là qua 10h họ khóa hết các cửa thông tầng hầm ra tòa khác, còn mỗi hầm của L81  (mà đâu có cho gửi xe ở …",1,CGV Vincom Center Landmark,0
Duy Dang,một tuần trước,"Này, nếu bạn không thể bật AC sau 10 giờ tối, tốt nhất nên có mức giá tốt hơn.

Khách hàng không muốn trả tiền cho một rạp chiếu phim địa ngục không thể làm được gì với điều hòa trong khi khu vực khác như lối đi vẫn hoạt động.",1,CGV Thảo Điền,0
Phạm Lê Tấn Lộc,một năm trước,"Nếu ai có ý định đi xem phim hay chơi bời ở đây thì nên cân nhắc lại.
Vì bạn không thể hiểu được cái quy hoạch của trung tâm này, rất khó để tìm được bất kỳ dịch vụ nào khác trừ siêu thị, siêu thị chiếm gần hết cái trung tâm, …",1,CGV Pandora City,0
Xuân Thiện,2 năm trước,"Xin chào CGV Vincom TĐ, mình là khách xem phim Dr. Strange xuất 22:20 hôm nay(6/5). Mình có vài phàn nàn cần được bày tỏ với CGV như sau:
Thứ nhất: Rạp khá là nóng, ngồi xem phim mà mình và bạn đi cùng đều chảy mồ hôi …",1,CGV Vincom Thủ Đức,0
